Java
 ECMAScript
JSP
C/C++
C#
SQL
ASP/ASP.NET
VB .NET
Perl
XML
SVG
Human- Computer Interaction
User Interface Design
Object Oriented Programming
Test-Driven Development
Rapid Development
Paper Prototyping
Agile Techniques
SCRUM
Eclipse
Eclipse Plug-ins
Eclipse RCP
Tomcat/Apache
Web Services (SOAP and REST)
Google Web Toolkit (GWT)
JUnit
Log4J
Ant
Axis/Axis2
Hibernate
Velocity
J2ME
OpenGL
OpenAL
CruiseControl
JIRA/Bugzilla
MySql
Visual Studio .NET
SQL Server
Microsoft Office
Macromedia MX Suite
Photoshop
Premiere
Windows XP
Unix
CSS
jQuery
 OmniGraffle
Cake PHP
 CSS 3
Object Oriented PHP
Linux
 HTML
 Highcharts/Highstock
 Balsamiq
 Drupal CMS
 Struts 1
 J2EE
 JavaScript
 Bootstrap
 Dreamweaver
  Struts 2
 JPA
 Perl
 HTML5 Boilerplate
 Git
 Webwork
 Apache
 Tomcat
 Hibernate
 Acrobat
 Zend Server
 Linux / Unix
 Windows
 SSL
 I18N
 Spring
 Photoshop
 Eclipse IDE
 Dojo
 A12Y
 JSP
 Firebug 
 Netbeans IDE
 Aptana IDE
 JSON 
 J2SE
JOGL
JOAL
Bugzilla
XP
